文本,价格,外观,质量
杯子 很漂亮 喝水 泡茶 泡 咖啡 不错 ,0,1,0
满意 购物   美观 程度 漂亮   花型 设计   清洗 难易 易 冼   做工 品质 优   瓷质 效果 优   美观 程度 ,0,1,1
美观 程度 纯白 简约 大气   清洗 难易 清洗   做工 品质 完美   瓷质 效果 质感 ,0,1,1
薄 精致 特别 好看 价格 买 物超所值 还会 回购 一如既往 支持 京东 支持 领 东西 物流 小哥 态度 未免 太好了 ,1,1,1
高大 尚 一款 烟灰缸 买 俩个 留 送给 哥哥 东西 回来 老婆 说 高档 烟灰缸 说 9.9 买 老婆 不信 喜欢   推荐 物超所值 卖家 送 螺丝刀   真是太 周到 ,1,1,0
品牌 放心 质量 赶上 活动 购买 划算 发货 超级 到货 超级 包装 精致 开启 新世界 大门 ,1,0,1
物流 超级 碗 完好无损 好看 喜欢 ,0,1,1
物流 很快 物品 完好无损 舒服 喜欢 口 取 挺 满意 4.6 L 容量 挺大 炖排骨 挺 ,0,1,1
高颜值 陶瓷 锅 图案 很漂亮 不像 砂锅 花 草 太 老气 斑马 时尚 可爱 喜欢 京东 到货 速度 挺快 收到 货物 包装 完好无损 说明书 煮 一锅 白粥 开锅 砂锅 煮 粥 粘稠 不错 还会 回购 ,0,1,1
容量 煮 药 不错 关键 够 瓷实 冷热 开裂 ,0,1,1
货 收到 很漂亮 描述 ,0,1,0
收到 款式 好看 整整 件 套装 包装 完美 磕碰 自营 商品质量 保证 ,0,1,1
太棒了 性价比 高 配套 完备 需求 ,1,0,1
宝贝 挺不错 老公 说 挺 摸 挺 沉 质量 不错 期待 做出 粥 样子 哈哈哈 时 皮蛋 瘦肉粥 菠菜 肉末 粥   买过 砂锅 一用 手扣 掉 买 感觉 质量 好多 期待 ,0,0,1
外观 包装 礼盒装 很漂亮   美观 程度   瓷质 效果 一看 高档 货   隔热 效果 真不错 ,0,1,1
质量 做工 精细 价格 实惠 卖家 服务态度 满意 值得 推荐 ,1,0,1
喜欢 完美 美观 ,0,1,0
东西 不错 包装 特别 泡沫 箱装 一点   满意 砂锅 炖 东西 美味   高压锅 压出来 味道 香 口感 特别 真是太   意 味道 超级 质量 保证 超级 满意 宝贝 收到 包装 完整 发货 东东 漂   亮 满意 全 五星 好评 ,0,1,1
宝贝 收到 看着 不错 颜值 高 好评 好评 ,0,1,0
速度 很快 京东 购物 越来越 宅 做工  差 瑕疵 黑点 凸起 ,0,0,-1
东西 不错 瑕疵 ,0,0,1
挺   杯盖 小黑点     强迫症 看着 会贼 难受 ,0,0,-1
手里 质感 蛮重 ,0,0,1
外观 包装 包装 这套 陶瓷 配送 到家   美观 程度 图案 好看   商品 图案 设计 好看   体验   端菜 烫手 轻 ,0,1,-1
太 好看 哈哈哈 ,0,1,0
便宜 不错 ,1,0,0
质量 上档次 好看 喜欢 ,0,1,1
物美价廉 大小 合适 看着 白白净净 好评 ,1,1,0
漂亮 小巧 好看 ,0,1,0
真心 不错 高颜值 放着 摆件 不错 舍不得 烟灰缸 ,0,1,0
京东 物流 第二天 拿来 煲 鸡汤 容量 适中 外观 好看 价格 实惠 不错 购物 ,1,1,0
花色 很漂亮 物流 挺快 包装 满意 ,0,1,0
好看   非常适合 家里 ,0,1,0
水杯 收到 满意 颜值 满意 放在 办公 笔记本 旁边 感觉 颜色 搭 颜值 高 上班 心情 变得 保温 效果 棒 超级 好看 倒 咖啡 漏水 顺手 颜值 质量 物超所值 满意 产品 ,1,1,1
总体 还好 美观 杯盖 改口 设计 改进 更好 ,0,1,0
整体 效果 美观 实用 行 ,0,1,1
京东 速度 杠杠 第二天 买 烧 水壶 保温 壶 买 砂锅 外观 简洁 大方 买过 特意 买 一点 四五个 够用 一家人 喜欢 砂锅 熬汤 感觉 入味 挺 满意 购物 ,0,1,1
杯子 收到 双 十二 做 活动 劵 不到 块钱 到手 质量 黑色 杯子 好看 勺 柄 木质 烫 容量 早上 麦片 ,1,1,1
价格 很棒   重点 包裹   妈妈 说 这套 碗盘 不错 喜欢   厚薄 适中 那种 薄 质量 很差 碗 放在 桌上 好看 ,1,1,1
美观 程度 好看   手工 工艺   实用 效果   特色 ,0,1,1
熬 中药 网上 选 药锅 销量 高 评价 不错 价格 合适 选择 这款 物流 很快 隔天 几天 挺 赠送 漏网 勺子 海绵 清洗 砂锅 一点点 瑕疵 实用 没什么 影响 ,1,0,1
好看 昨晚 熬 粥 做 菜汤 味道 不错 分量 厚实 ,0,1,1
京东 618 大促 购买 这款 瓷盘 深 盘子 盛菜 总体 感觉 釉色 均匀 质量 包装 严实 保护 盘子 ,1,1,1
外观 包装 泡沫 箱子 包装 稳定 破烂   瓷质 效果 光滑   美观 程度 漂亮 简洁 大方 ,0,1,1
迫不及待 打开 包装 损坏 外观 好看 很漂亮 购物 体验 值得 购买 物超所值 ,1,1,1
这碗 看着 挺大 实际上 浅 买 回家 同事 说 烟灰缸 ,0,-1,0
不错 好看,0,1,0
好好 好看 结实 便宜,1,1,1
东西 京东 实在 质量 不错 回购 ,0,0,1
小巧     精致     特别 喜欢     舍得       喝 东西 感觉 特别 香 漂亮,0,1,1
碗碟 确实 漂亮 喜欢   进 微波炉 遗憾   送来 时 少 一只 筷子   补发 服务 给力   风格 喜欢 形式 讨喜 ,0,1,0
喜欢 杯子 小巧 精致 适合 理工 直 男 温馨 宿舍 画 甜甜的 爱情 勺子 盖子 非常适合 咖啡 画工 图 ,0,1,1
外观 包装 包装   美观 程度 碗 很漂亮 碗底 一点 瑕疵 总体   商品 简约 美观 ,0,1,-1
碗 买 一点 尺寸 合适 好看 ,0,1,0
物品 收到 包装 精美 外观 包装 还好 外观 不错 瓷碗 瓷盘 挺 漂亮 碗 尺寸 很大 盘子 不小 瓷质 效果 不错 花纹 好看 纹路 清晰 真心 不错 品牌 值得 信赖 值得 购买 ,0,1,1
煲汤 好用 太忙 评价 补评 ,0,0,1
不错 预想 苏泊尔 想换个 小熊 试下 感觉 苏泊尔 厚实 外观 更好 可爱 厚度 更厚 质量 不错 家里人 说 锅汤 四五口 吃 下次 还会 买 小熊 ,0,1,1
好评 买 两件 到家坏 盘子 赔付 态度 商品 挺   碗 厚度 薄 ,0,0,-1
不错 好看 漂亮 特别 高大 网购 收到 礼物 家里 抽烟 摆件 好看 卖家 贴心 配备 小小的 螺丝刀 子 省去 安装 麻烦 谢谢 贴心 卖家 希望 越做越 ,0,1,0
一分钱 一分货 好看 ,1,1,0
好看 不错 漂亮 色差 ,0,1,0
试 买 成套 没想到 外包装 盒子 美观 大气 保护 质量 可以 送给 朋友 喜欢 ,0,1,1
美观 程度   表面 手感 喜欢 重   手工 工艺 光滑 ,0,1,1
行 不高 好看 结实,0,1,1
买过 老人家 买 煲 汤 香浓 煮开 最小 火来 慢火 煲 很省 煤气 产品 物有所值 易清洗 耐热 耐冷 省心 ,1,0,1
碗 盘子 不错 好看 小巧 精致 ,0,1,1
优秀 质量 外观 美 物超所值 ,1,1,1
外观 包装   美观 程度 双层   商品 瑕疵 ,0,1,1
杯子 买 铁 瓷 效果 挺 挺好用 ,0,0,1
宝贝 收到 惊喜 设计 时尚 大方 关注 回购 真心 喜欢 颜色 款式 棒 材质 结实 手感 劲 物流 性价比 高 值得 购买 满意 购物 服务 发货 神速 物流 力 宝贝 收到 喜欢 买 放心 安心 ,1,1,1
做工 精细 价格 实惠 质量 不错 暴赞 ,1,0,1
大小 合适 摆 餐桌 做 砂锅 鱼 美味 材质 期待 经久耐用 ,0,1,1
真 做工 造型 碎 真 周到 ,0,0,1
杯子 不错 买来 男朋友 放在 办公室 喝水 正好 杯子 L 配 名字 特别 喜欢 ,0,1,0
一段时间 评价 冬天 天气 冷 菜 冷 砂锅 保温 效果 一家人 吃完饭 菜 热 砂锅 保温 效果 过年 砂锅 做 菜 美味 砂锅 厚实 好用 ,0,0,1
到货 后先 开箱 检查 质量 完美   开 锅 炖 肉 不错   3.5 升 容量 很大 一家 四口 妥妥   推荐 ,0,1,1
砂锅 很漂亮 质感 细腻 想买个 大点 预期 一点 ,0,1,1
外观 满意 包装 精美 质量 好,0,1,1
煲 粥 好用 不粘锅 熬出来 电饭煲 要香 下次 试下 煲仔饭 ,0,0,1
宝贝 到手 打开 包装 完好无损 摸 手感 舒服 几次 熬药 感觉 ,0,0,1
收到 打开 不错 质量 超好 颜值 高 推荐 推荐 特别 可爱 碗 特别 好看 建议 多买 三套 够用 碗 大小 特别 合适 真心 推荐 第三次 购买 特别 结婚 买 一大 套 十件 套 三百多 块钱 一套 三号 算算 太多 钱 不到 实惠 太多 质量 特别 买 ,1,1,1
砂锅 棒 想象 收到 货 发现 砂锅 盖子 掉 一点 瓷 运输 中 碰到 安排 第二天 午新 锅 盖子 换掉  购物 体验 冲着 售后 态度 还会 捧场 回购 ,0,1,-1
砂锅 看着 挺 价格 合适 送货 速度 很快 服务态度 支持 京东 自营 店 ,1,0,0
品牌 货 样子 好看 朋友 喜欢 性价比 高 购物 朋友 推荐 买 牌子 说 掉色 漆 东西 ,1,1,1
质量 颜色 很正 做工 多余 线头 妈妈 家买 感觉 妈妈 喜欢 催着 买 一套 包装 质量 棒 宝贝 完全符合 卖家 描述 放心 购买 感谢 好用 实惠 好看 ,1,1,1
炖 粥 煲汤 使用方便 易 清洁 发货 物流 产品 介绍 收到 货后 几天 炖 粥 炖汤 操作 效果 保温 值得 ,0,0,1
简约 时尚 色调 柔和 做工 精致 异味 开水烫 消 消毒 价格 适中 价位 对得起 质量 容量 确实 不错 早上 泡杯 牛奶 一杯 合适 总得来说 愉快 购物 五星 好评 ,1,1,1
想换 砂锅 炖汤 选 好几个 品牌 爱仕达 价格 合适 4.6 L 到手 划算 砂锅 炖汤 受热 均匀 不易 溢出 容量 一家 口 刚刚 ,1,1,1
好看 放在 家里 档次 组装 质量 不错 ,0,1,1
前天 下午 点下 第二天 上午 收到 京东 给力 砂锅 份量 质量 差 满意 购物 ,0,0,1
盘子 很漂亮 买过 花色 盘 货 买 这款 包装 严密 特 ,0,1,1
东西 漂亮 质量 不错 值得 购买 ,0,1,1
满意 购物 体验 外形 设计 流畅 线条 瓷质 光滑 瓷地 细贼 盘深 适中 简易 包装 配送 挺 ,0,1,1
好看 手感 细腻 6.5 L 炖 买 大点 东西 只能 活动 优惠 ,1,1,1
瓷器 好看 送货 包装 好看 买来 送人 满意 ,0,1,0
买 千叶 图案 碗 一套 四只 大小 适中 合适 好用 购买 次 用过 满意 购买 千叶 盆子 家里 请客 正好 超 满意 赞 ,0,1,1
大小 合适 外观设计 盖子 颜色 不错 几天 试试 煲汤 效果 ,0,1,0
一点儿 6.5 有点儿 蠢 ,0,-1,0
好看 一款 碗碟 套装 轻微 花纹 图案 点缀 四碗 四筷 四碟 四匙 汤碗 汤勺 平常 生活 一家 四口 手 手感 挺不错 ,0,1,1
包装 碎 碗 厚实 只碗 勺 盘 筷子 ,0,0,1
不错 质量 做工 精细     稳当 不像 杯子 碰 倒 ,0,0,1
宝贝 收到 两天 太 经验 买 药罐 升 太小 煎药 外溢 盖 盖子 没法 买 这款 升 收到 货后 包装 防护 运输 过程 保护 很棒 外包装 损坏 完好 药罐 品质 沉甸甸 光滑 漂亮 瑕疵 两次 不用 担心 药会 溢出 放心 做 事 分钟 再来 关火 倒 药 省心 经验教训 买 药罐 宁大勿 ,0,1,1
很漂亮 煮 螺蛳 粉下 方便面 仪式 感 ,0,1,0
昨天中午 早上 收到 太 意外 京东 物流 赞 锅体 表面 光滑 瑕疵 炖煮 汤 鲜美 粥 浓香 ,0,0,1
发货 速度 包装 损坏 质量 不错 ,0,0,1
很漂亮 质量 物流 很快 破损 ,0,1,1
第二次 购买 款 砂锅 帮 朋友 买 朋友 喜欢 款式 好看 做工 精细 煲 汤 砂锅 好喝 适合 三到 四个 家庭 喜欢 朋友 放心 购买 ,0,1,1
京东 上午 下单 当天 收到 正品 包装 一点 受损 满意 ,0,0,1
没用  好看 看着 不错 ,0,1,0
外观 包装   美观 程度   瓷质 效果   隔热 效果 耍 买 ,0,1,1
漂亮 小碗 做工 精细 ,0,1,1
大小 适合 四口 家 炖肉 ,0,1,0
美观 程度 杯子 很漂亮 外形 简约 时尚 美观 咖啡色 颜色 一种 小资 生活 惬意 感 放在 办 工作 合适   表面 手感 杯子 手感 圆滑 细腻 做工 接受 工作 余 泡 一杯 咖啡 喝一杯 下午茶   完美 享受 ,0,1,1
收到 打开 质量 不错 ,0,0,1
风式 盘子 碗   很棒   盘子 正好 量   刷起来   舒心   精致 生活 生活 质量 提高   幸福感 增强   小看 家里 用品   日子 息息相关 ,0,1,1
很漂亮 杯子 个头 实用 ,0,1,1
瓷白 瑕疵 黑点 无气泡 买 两个 款 大小 ,0,0,1
物流 很快 总体 喜欢 卖家 服务 花 少 钱 行 优点 质量 物所值 帮 朋友 买 ,1,0,1
煎药 壶 大小 合适 壶 身 细 很光 煮 点 中药 调理 身体 ,0,1,1
物流 很快 当天 下单 当天 杯子 颜值 高 轻便 赞 ,0,1,1
光滑 无沙孔 斑点 原本 一家 口 刚刚 一只 份量 ,0,1,1
好评 高端 大气 材质 上乘,0,1,1
质感 特别 一点点 瑕疵 性价比 高 ,1,0,1
价格 合适 冲着 京东 送货 速度 第二天 送到 盘子 百搭 清洗 喜欢 ,1,1,0
大小 正合适 喜欢 炖汤 一家 三口 刚刚 够用 东西 厚实 真心 喜欢 活动 购物车 活动 入手 超级 喜欢 ,1,1,1
杯子 棒 买回来 煮 咖啡 喝 喜欢 表面 釉 质感 特别 特别 顺滑   美观 程度 好看 好看 好看   外观设计 完美 设计   表面 手感 圆润 滑 ,0,1,1
美观 程度 白色 简洁   花型 设计 花纹   清洗 难易 清洗   做工 品质 品质 高   瓷质 效果 效果   美观 程度 美观 ,0,1,1
买 送 包装 结实 ,0,0,1
好看 舍不得 爸爸 放 烟灰   美观 程度 五颗星   大小 尺寸 差别   收藏 价值   工艺 品质 ,0,1,1
砂锅 釉 特别 光滑 细腻   燃气灶 开 小火 熬汤 盖 盖子 水 扑出来   熬 一锅土 鸡汤 特别 鲜美   好评   大肚子 设计   3.5 L 放 半只   空间 绰绰有余 ,0,1,1
行 美观,0,1,0
想 买 砂锅 好久 超市 看过 网上 看过 好多 牌子 款式 选择 苏泊尔 老牌子 款 大小 合适 款式 很漂亮 煲汤 做菜 放在 桌上 大小 正好 家里 囗 够用 小哥 送货 很快 收到 涮 涮 挺好用 感觉 传热 很快 品牌 值得 信赖 想 买 砂锅 放心 下单 ,0,1,1
右边 家 大小 合适 质量 过关 左边 一家 时间 买 洗碗 布洗 ,0,1,1
美观 程度 很漂亮   外观设计 高级 感   表面 手感 光滑 不错 ,0,1,1
外观 干净 漂亮 做工 不错 发现 瑕疵 个人感觉 大小 挺 合适 找 很久选 这款 大爱 价格 美丽 东西 不错 买 老妈 煲 药 吃 新 ,1,1,1
漂亮 细腻 砂锅 摸上去 舒服 手感 颜色 搭配 比较简单 干净 砂锅 煲汤 实用 耐高温 食物 口感 不错 软烂 推荐 ,0,1,1
收到 时       外面 泡沫 箱子 破损       担心       打开 一看 完好无损             美观 实用     不错 ,0,1,1
包装 充填 到手 完好无损 被子 喜欢 充 咖啡 ,0,0,1
版型 不错 时尚 穿着 舒适 做工 细致 舒服 ,0,1,1
样式 好看 质量 不错 朋友 喜欢 物流 很快 礼盒装 ,0,1,1
漂亮 小巧 可爱 北方 寒冷 天气 还好 南方 天热 地方 碗 热 ,0,1,0
网上 挑 好久 买 炊大皇 家里 厨房用具 家 质量 信得过 第二天 收到 货 惊喜 满满 外观 漂亮 上档次 低调 奢华 内涵 煲汤 大小 正好 合适 轻轻 敲击 回声 清脆 高温 锻造 不错 期待 后续 ps 京东 物流 赞赞赞 ,0,1,1
好用 好看 绒 ,0,1,1
套餐 具 适合 家庭 颜色 好看 东西 齐全 一家 四口 足够 老公 说 好看 家里 客人 上档次   盛菜 量 足 汤汤水水 菜 足够 撑下 性价比 高 值得 推荐   汤勺 汤盆 超级 好看 ,1,1,1
高大 挺 漂亮 ,0,1,0
盘子 好看 风格 喜欢 关键 价格 实惠 买 弟弟 宿舍 ,1,1,0
质量 光滑 价格 实惠 下次 光顾 ,1,0,1
外观 包装 完整 保护 瓷器   美观 程度 简洁 美观 做工 精细 品质 不错 买 贵 碗盘 相比 区别 性价比 超高 日式 系列 买 两套 满意 ,1,1,1
杯子 不错 精致 特别 推荐 购买 ,0,0,1
看着 不错 造型 好看 容量 第一次 熬粥 ,0,1,0
超级 棒 高级 感 值得 推荐 ,0,1,0
尚行 知事 款 碗碟 套餐 不错 颜色 好看 大方 食欲 不愧 家居 品质 值得 信赖 买 一套 太 划算 ,1,1,1
不错 煲汤 罐 一点 不难 开 本来 煮 久 开 挺 我家 婆婆 熬药 放 水 少 陶瓷 罐 效果 价格 不贵 喜欢 炊大皇 牌子 我家 好多 东西 牌子 好久 ,1,0,0
周六 到货 物流 速度 隔天 使用寿命 很快 接上 热水 漏水 检查 大半天 开裂 退款 不删 ,0,0,-1
价格 特别 优惠 质量 双十 一做 活动 价格便宜 ,1,0,0
挺 砂锅 价格 合适 送 礼物 挺 好看 起码 买 家 砂锅 没送 礼物  ,1,1,0
图 中 手感 喝水 棒棒 ,0,0,1
物美价廉 方便快捷 京东 值得 信赖 ,1,1,0
美观 程度 瑕疵   隔热 效果 隔热   面碗 煮 面条 特别 烫 ,0,1,1
想要 砂锅     没事儿 熬 一锅粥 一锅 烧烤 摊才 砂锅 方便面     买 小熊 切蒜器     正好     果断 入手     质量     满意 ,0,0,1
喜欢 锅 喜欢 牌子 厨具 炖肉   炖汤 味道 好极了 京东 购买 放心 质量 保障 京东 服务 物流 很快 送货到 家 ,0,0,1
包装 安全性 不容 易弄碎   活动 时间 下手 购买 适合 份量   材质 苏泊尔 产品 值得 信赖 ,0,1,1
碗 没什么 毛病 质量 不错,0,0,1
砂锅 容量 适合 熬药 小巧 水量 暂时 把握 熟悉 轻便 占 地方 存放 物美价廉 性价比 高 ,1,1,1
满意 29.9 元有 多个 1000 京东 抵扣 付款 18.5 元 收到 完好无损 没磨手 感觉 光滑 家里人 满意 好评 好评 好评 ,1,0,1
划算 一款 烟缸 造型 很漂亮 ,1,1,0
碗子 做工 很漂亮 花纹 精美 汤勺 沉重 外包装 送礼 自用 合适 物流 很快 商品 外包装 碰撞 五星 好评 ,0,1,1
不错 一款 锅 颜值 高 简约 大方 大小 合适 先 煮 点 白粥 开开 锅 感觉 糊底   京东 物流 很快 不错 不错 推荐 购买   好像 洗碗机 洗 ,0,1,0
砂锅 不错 够 价格 便宜 做工 精细 材质 一款 值得 拥有 产品 京东 购物 方便快捷 次日 达 ,1,0,1
外形 精美 做工 不错 不错 ,0,1,1
质量 好 美观 这款 一整只 放进去 压力 炖个 排骨汤 ,0,1,1
杯盖 杯身 小坑 质量 值得 质疑 ,0,0,-1
活动 买 价格 合适 小巧 孩子 挺不错 很快 态度 ,1,1,0
美观 程度 好看   外观设计 时尚   表面 手感 舒服 ,0,1,1
漂亮 一套 碗 具 高大 档次 ,0,1,0
自营 东西 放心 杯子 做 精致 手里 手感 不错     不错 ,0,0,1
包装 细致 破损 质量 品相 图案 淡雅 清新 好看 整 一套 搭配 日常 价格 实惠 整体 超值 ,1,1,1
喜欢 质量 包装 支持 京东 好评 ,0,0,1
生日礼物 送给 绝美 感动 哭 ,0,1,0
很快 碗 盘子 外观 不错 ,0,1,0
碟子 满意 价格便宜 纯白 无毒 反正 洗起来 不锈钢 洗 ,1,1,0
di er c   美观 程度 质感   外观设计 适合 审美   表面 手感 光滑   手工 工艺 ,0,1,1
宝贝儿 挺 满意 精致 下次 还会 光顾 ,0,0,1
宝贝 收到 满意 颜值 高 发货 速度 ,0,1,0
盖子 坏 杯子 ,0,0,-1
不错 包装 满意 外观 满意 烧 一壶水 试试 一段时间 追评 ,0,1,0
京东 购物 放心 之选 包装 仔细 沒 破损 东西 还会 次 购买 ,0,0,1
好看 碗 做工 精致 釉色 ,0,1,1
挺不错 挺 实惠 物流 速度 真够 当天 下单 傍晚 速度 杠杠 ,1,0,0
脑子 喜欢 砂锅 买回来 第一天 熬汤 热 很快 锅 光滑 仔细 看时 发展 两三个 沙眼 影响 两个 人用 足够 做 东西 好吃 清洗 买 满意 ,0,1,1
包装 精美 陶瓷 细腻 ,0,1,1
便宜 实惠 饭碗 两 盘子 两 小勺 汤勺 汤碗 19.9 ,1,0,0
铁 小时候 铁 陶瓷 手感 不错 ,0,0,1
想 爸妈 买个 砂锅 感觉 砂锅 粥 软 糯 适合 年纪 挺 砂锅 吸引 颜色 容量 买回来 当晚 爸妈 试用 问 为啥 不早 买 ,0,1,0
白净 光滑 美观 碗 ,0,1,1
包装 样式 好看 大小 适合 家庭 ,0,1,0
京东 自营 炊大皇 不错 煲子 釉面 光滑 黑色 整洁 卫生 煲 粥 特别 香 今晚 卤 鸡腿 一会 大快朵颐 ,0,1,1
我家 收到 熬 鲫鱼汤 阿姨 说 挺好用 好看 挺 ,0,1,1
整体 外观设计 简洁 很漂亮 花纹 细腻 手摸 光滑 介意 薄 碗 考虑一下 碗 轻薄 舒服 服务 下次 还会来 ,0,1,1
被子 质量 精致 结实 图案 设计 合适 星 ,0,1,1
小熊 电器 买 第一次 买 陶瓷 价格 合适 那锅 厚实 挺 分量 说性 比价 挺高 想不到 小熊 陶瓷 不错 满意 ,1,0,1
美观 程度 颜色 造型 很漂亮 喜欢   外观设计 造型 好看   表面 手感 光滑   手工 工艺 精致   实用 效果 实用   特色 看着 大容量 ,0,1,1
外观 包装 完整   瓷质 效果 花色 完美 颜色 误差   隔热 效果 烫手   第一次 网上 买 瓷器 不错 包装 完美 两个 底部 磕碰 补发 大小 适中 家庭 可用 ,0,1,1
这款 砂锅 满意 性价比 高 容量 合适 两个 喜欢 喝汤 每次 顿一 大锅 够 喝 两天 目前为止 质量 不错 顿汤 好喝 值得 购买 ,1,0,1
收到 物流 挺快 泡沫 箱子 各就各位 码放 齐整 花色 瓷质 细腻 质量 花色 设计 美观 漂亮 喜欢 ,0,1,1
京东 自营 质量保证 物流 很快 包装 值得 推荐 外形 圆滑 瑕疵 异味 性价比 高 装物 好看 好用 干净 整齐 家中 常备 ,1,1,1
疫情 原因 一个月 收到 货 不错 对象 戒烟 放 首饰 不错 好看 ,0,1,0
质量 真心 不错     喜欢 图案   当天 下手   建议 购买       盘子 碗   不错 ,0,1,1
上眼 上眼 这款 洁白如玉 瓷盘 子 瓷盘 细腻 图 图案 花纹 装 菜肴 过年 添新碗 新 盘子 取 添人 进口 吉兆 春节 前 买 几个 新 盘子 新 碗 女神 挑选 瓷盘 瓷碗 高手 挑出 盘子 碗 肯定 物美价廉 形容 款 盘子 刚刚 ,1,1,1
可爱 杯子 京东 速度 很快   总体 不错 手感 ,0,1,1
药壶 中医 老中医 推荐 不错 煎药 保温 端 特别 顺手 打算 买 自动 医生 说用 明火 煎熬 能出 药效 买 ,0,0,1
宝贝 收到 不错 特别 喜欢 绝美 包装 完好无损 ,0,1,1
整体 感觉 不错 包装 容量 挺大 ,0,1,0
锅 很大 六七个 够用 一段时间 质量 挺好,0,1,1
盘子 很漂亮 京东 售后 不错  ,0,1,0
第二次 购买 高颜值 高品质 一分钱 一分货 材质 外观 质量 一看 上档次 喜欢 ,1,1,1
打开 第一眼 惊艳 完美 工艺 合适 尺寸 表面 光滑 瑕疵 褪色 估计 色泽 均匀 精致 图案 喜欢 手感 很棒 很赞 包装 完整 分开 独立 包装 关键 物流 力 上午 拍 下午 回来 收到 心情 不言而喻 完美 购物 关注 店家 ,0,1,1
包装 损坏 碗筷 碟子 很漂亮 ,0,1,1
家里 有个 砂锅 做 食物 量 不大时 显得 锅太大 千挑万选 选 这款 砂锅 大小 形状 正好 够 做 人份 菜量 磨砂 材质 艳且 含蓄 饱满 样子 安全感 食欲 设计 双耳 趁手 舒服 烫 煮 食物 味道 好吃 ,0,1,1
发货 速度 物流配送 速度 很快 外包装 完整 破损 四个 碗 四个 盘子 搬家 ,0,0,1
家里 砂锅 太 太深 大小 颜值 好看 质感 光滑 ,0,1,1
大小 合适 够 一家人 炖汤 砂锅 品质 市场 买 高 整体 厚实 锅底 结实 看着 不错 京东 物流 很快 整体 好评 ,0,1,1
好看 很快 收到 卖家 漏发 筷子 卖家 沟通 安排 补发 棒 店铺 ,0,1,0
砂锅 真不错 挺大 一家 五口 够用 砂锅 质量 挺 蛮沉 第一次 煮 大锅 排骨汤 味道 京东 物流 很快 一点 破损 ,0,1,1
大小 合适 携带 整体 感觉 物流 送货 很快 喝茶 泡 咖啡 ,0,1,0
这家 用料 手工 制作 周正 圆润 买 喜欢 吃饭 享受 ,0,0,1
物流 很快 图案 高端 漂亮 干净 样子 一套 价格 优惠 市场 挺 贵 感谢 噢 物流 很快 送货上门 爱 爱 抓紧 购买 ,1,1,0
手工 工艺 做工 行 没太大 瑕疵 ,0,0,1
外观 包装 高大 送礼 面子   美观 程度 烫金 套装 好看   瓷质 效果 光滑 不刮手 质量 ,0,1,1
衣服 买 生日 马克杯 洁白无瑕 星座 跃然 杯 不错 情趣 ,0,1,0
家里 老人 熬药 合适 砂锅 购买 2L 锅 沟通 更换 3L 不大不小 正合适 砂锅 外包装 到货 破损 款 砂锅 设计 质量 采用 明火 加热 方式 锅盖 放气孔 特别 壶嘴 手柄 设计 周全 实用 老人 评价 满意 京东 购物 质量 有保 服务周到 满意 ,0,1,1
东西 官方 描述 相符 疫情 先 确认 收货 到时候 补发 简单 一句 好看 评价 ,0,1,0
东西 价格便宜 特别 漂亮 ,1,1,0
贵 点 ,-1,0,0
砂锅 做 传统 砂锅 细致 传统 砂锅 功能 烧 两次 煲仔饭 速度 女儿 吃 太 好吃 推荐 购买 不贵 ,1,0,0
到货 有坏 找 杯子 坏 回 信息 显示 繁忙 ,0,0,-1
物流 很快 前一天 下单 第二天 送到 包装 保存 完好 锅 很漂亮 红色 看着 大气 早就 想 买 砂锅 明天 煲 汤 试试 好用 再来 追评 ,0,1,1
美观 程度 颜值 高   外观设计 不错   表面 手感 ,0,1,1
碗 具     颜色 看着 稍微 淡   质量 可以,0,-1,1
杯子 质量 不错 ,0,0,1
锅 厚实 分量 换 货 瑕疵 换货 不错 做 几次 菜 表现出色 保温 颜值 不错 ,0,1,1
拍 分钟 办理 退货 发货 退货 时间 不了了之 ,0,0,-1
外观 精美 包装 仔细 碗碟 勺 之间 软 泡沫 阻隔 运输 期间 碰坏 打开 包装 卖家 用心 精美 碗 小勺 碟子 汤勺 汤碗 一共 头 性价比 高 瓷质 效果 隔热 效果 不错 ,1,1,1
款 砂锅 好用 煲 鸡汤 煲 骨头汤 煲 粥   颜色 好看 买 号 一家人 刚刚 价格便宜 质量 杠杠 煲 鸡汤 煲 骨头汤 杠杠 ,1,1,1
便宜 质感 光滑 清洗 回购 ,1,0,1
送货 速度 东西 服务 下次 还来   东西 挺 逸 挺不错 搞 活动 特别 划算   煲汤 颜值   值得 购买 噢   ,1,1,0
表面 手感 满意   美观 程度 行   货品 破损 ,0,1,1
搬新家 买 包装 颜色 很漂亮 汤碗 值得 入手 ,0,1,0
外观 包装 包装 严实 破损   商品 陶瓷 特别 花纹 喜欢   体验 大小 合适 一家人 足 ,0,1,1
碗盘 漂亮   外观 包装   美观 程度 好看 ,0,1,0
买 很值 便宜 收到 完美 瑕疵 一套 太漂亮 吃饭 心情 更好 ,1,1,1
精致 一套 叠碗 完美 ,0,0,1
锅 质量 结实 容量 挺大 一款 锅 ,0,1,1
漂亮 做工 不错 ,0,1,1
挺 四个 碗 两盘 汤匙 可惜 汤碗 碎裂  坏,0,0,-1
美观 程度 美   表面 手感 质感   实用 效果 ,0,1,1
包装 严实 照片 一模一样 好看 发货 不错 下次 ,0,1,0
